Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
Rack_N_maximum_cell_temperature,"1°C/bit, offset: -40°C    ",127,°C,1.0,-40,UINT,1,0,ME_Temp_Cell_Max,,99999999.0,-99999999.0
Cell_No_of_maximum_temperature_in_rack_N,1/bit                     ,128,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_minimum_cell_temperature,"1°C/bit, offset: -40°C    ",129,°C,1.0,-40,UINT,1,0,ME_Temp_Cell_Min,,99999999.0,-99999999.0
Cell_No_of_minimum_temperature_in_rack_N,1/bit                     ,130,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_cell_SOC, 1%/bit    ,131,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_maximum_cell_SOC_in_rack_N,1/bit      ,132,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_minimum_cell_SOC, 1%/bit    ,133,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_minimum_cell_SOC_in_rack_N,1/bit      ,134,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_cell_SOH, 1%/bit    ,135,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_maximum_cell_SOH_in_rack_N,1/bit      ,136,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_minimum_cell_SOH, 1%/bit    ,137,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_minimum_cell_SOH_in_rack_N,1/bit      ,138,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_accumulated_charging_capacity,0.1KWh/bit ,139,kWh,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
Rack_N_accumulated_discharging_capacity,0.1KWh/bit ,141,kWh,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
Rack_N_accumulated_charge_quantity_for_a_single_time,0.1KWh/bit ,143,kWh,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
Rack_N_accumulated_discharge_quantity_for_a_single_time,0.1KWh/bit ,145,kWh,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
Rack_N_rechargeable_capacity, 0.1KWh/bit,147,kW,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
Rack_N_discharge_capacity, 0.1KWh/bit,149,kW,0.1,0,UINT32,1,0,,,99999999.0,-99999999.0
#_Rack_N_module_SOC, 1%/bit    ,151,V,0.001,0,UINT,1,0,,,99999999.0,-99999999.0
#_Rack_N_cell_voltage,0.001V/bit,191,V,0.001,0,UINT,1,0,,,99999999.0,-99999999.0
#_Rack_N_cell_temperature,"1°C/bit, offset: -40°C",891,°C,1.0,-40,UINT,1,0,,,99999999.0,-99999999.0
#_Rack_N_cell_SOC,1%/bit                ,1591,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
#_Rack_N_cell_SOH,1%/bit,2291,%,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
#_Rack_N_terminal_temperature,"1°C/bit, offset: -40°C",2991,°C,1.0,-40,UINT,1,0,,,99999999.0,-99999999.0
