Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
#_U_Energy_Counter_Negative_L3,,8443,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Error_Code_1,,8445,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_2,,8446,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_3,,8447,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_4,,8448,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_5,,8449,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_6,,8450,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_7,,8451,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Error_Code_8,,8452,,,,UINT16,6,200,ERR_Code,,99999999.0,-99999999.0
#_U_Operating_State,,8493,,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Start_Countdown,,8494,,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Humidity,,8495,0.1%rh,,,UINT16,6,200,,%rh,99999999.0,-99999999.0
#_U_PCB_Temperature,,8496,0.1°C,,,INT16,6,200,,°C,99999999.0,-99999999.0
#_U_Isolation_Resistance,,8497,0.1kΩ,,,UINT16,6,200,,Ω,99999999.0,-99999999.0
#_U_Leakage_Capacitance,,8498,0.1μF,,,UINT16,6,200,,F,99999999.0,-99999999.0
#_U_Firmware_Version,,8499,,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positive_Ah_Counter_1,,100002,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_1,,100004,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_2,,10005,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_2,,10007,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_2,,10009,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_3,,10010,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_3,,10012,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_3,,10014,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_4,,10015,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_4,,10017,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_4,,10019,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_5,,10020,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_5,,10022,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_5,,10024,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_6,,10025,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_6,,10027,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_6,,10029,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_7,,10030,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_7,,10032,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_7,,10034,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_8,,10035,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_8,,10037,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_8,,10039,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_9,,10040,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_9,,10042,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_9,,10044,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_10,,10045,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_10,,10047,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_10,,10049,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_11,,10050,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_11,,10052,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_11,,10054,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_Positiv_Ah_Counter_12,,10055,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Negativ_Ah_Counter_12,,10057,0.01Ah,,,UINT32,6,200,,,99999999.0,-99999999.0
#_U_Current_12,,10059,0.01A,,,UINT16,6,200,,,99999999.0,-99999999.0
#_U_DC_Input_Voltage,,10160,0.1V,,,UINT16,6,200,,,99999999.0,-99999999.0
